Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
138,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2009 Maybach Landaulet,Maybach,2009 Maybach Landaulet,2009,604,738
138,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 604 hp 738 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2010 Maybach Landaulet,Maybach,2010 Maybach Landaulet,2010,604,738
138,20,189,Rear-wheel drive,Maybach 6.0L 12 Cylinder 620 hp 738 ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,10,Gasoline,16,Automatic transmission,2011 Maybach Landaulet,Maybach,2011 Maybach Landaulet,2011,620,738
157,118,100,Rear-wheel drive,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,12,Gasoline,19,Automatic transmission,2010 Mercedes-Benz C63 AMG Sport,AMG,2010 Mercedes-Benz C-Class,2010,451,443
157,118,101,Rear-wheel drive,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,13,Gasoline,19,Automatic transmission,2011 Mercedes-Benz C63 AMG Sport,AMG,2011 Mercedes-Benz C-Class,2011,451,443
137,200,99,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,TRUE,7,7 Speed Automatic Select Shift,11,Gasoline,18,Automatic transmission,2010 Mercedes-Benz CL63 AMG,AMG,2010 Mercedes-Benz CL-Class,2010,518,465
137,200,99,Rear-wheel drive,Mercedes-AMG 6.0L 12 Cylinder 621hp 738ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,11,Gasoline,17,Automatic transmission,2010 Mercedes-Benz CL65 AMG,AMG,2010 Mercedes-Benz CL-Class,2010,621,638
137,200,99,Rear-wheel drive,Mercedes-AMG 5.5L 8 Cylinder 536hp 590ft-lbs Turbo,TRUE,7,7 Speed Automatic Select Shift,15,Gasoline,21,Automatic transmission,2011 Mercedes-Benz CL63 AMG,AMG,2011 Mercedes-Benz CL-Class,2011,536,590
137,200,99,Rear-wheel drive,Mercedes-AMG 6.0L 12 Cylinder 621hp 738ft-lbs Turbo,TRUE,5,5 Speed Automatic Select Shift,12,Gasoline,18,Automatic transmission,2011 Mercedes-Benz CL65 AMG,AMG,2011 Mercedes-Benz CL-Class,2011,621,638
109,53,99,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 507 hp 465 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,12,Gasoline,18,Automatic transmission,2010 Mercedes-Benz CLS63 AMG,AMG,2010 Mercedes-Benz CLS-Class,2010,507,465
162,22,183,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,TRUE,7,7 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2010 Mercedes-Benz E63 AMG,AMG,2010 Mercedes-Benz E-Class Sedan,2010,518,465
162,22,99,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,TRUE,7,7 Speed Automatic Select Shift,13,Gasoline,20,Automatic transmission,2011 Mercedes-Benz E63 AMG,AMG,2011 Mercedes-Benz E-Class Sedan,2011,518,465
170,240,122,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,TRUE,7,7 Speed Automatic Select Shift,12,Gasoline,19,Automatic transmission,2011 Mercedes-Benz SL63 AMG,AMG,2011 Mercedes-Benz SL-Class,2011,518,465
173,34,123,Rear-wheel drive,Maserati 4.2L 8 Cylinder 405 hp 339 ft-lbs,TRUE,6,6 Speed Automatic,13,Gasoline,20,Automatic transmission,2011 Maserati GranTurismo Coup,Maserati,2011 Maserati GranTurismo Coup,2011,405,339
173,17,123,Rear-wheel drive,Maserati 4.7L 8 Cylinder 433 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,13,Gasoline,20,Automatic transmission,2011 Maserati GranTurismo Coup S AT,Maserati,2011 Maserati GranTurismo Coup,2011,433,361
173,17,123,Rear-wheel drive,Maserati 4.2L 8 Cylinder 405 hp 339 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Maserati GranTurismo Coup,Maserati,2010 Maserati GranTurismo Coup,2010,405,339
173,17,123,Rear-wheel drive,Maserati 4.7L 8 Cylinder 433 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Maserati GranTurismo Coup S AT,Maserati,2010 Maserati GranTurismo Coup,2010,433,361
173,17,104,Rear-wheel drive,Maserati 4.7L 8 Cylinder 433 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,20,Automatic transmission,2011 Maserati GranTurismo Convertible,Maserati,2011 Maserati GranTurismo Convertible,2011,433,361
173,17,123,Rear-wheel drive,Maserati 4.7L 8 Cylinder 433 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Maserati GranTurismo Convertible,Maserati,2010 Maserati GranTurismo Convertible,2010,433,361
157,233,102,Rear-wheel drive,Maserati 4.2L 8 Cylinder 400 hp 339 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,20,Automatic transmission,2011 Maserati Quattroporte,Maserati,2011 Maserati Quattroporte,2011,400,339
157,233,102,Rear-wheel drive,Maserati 4.7L 8 Cylinder 430 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2011 Maserati Quattroporte S,Maserati,2011 Maserati Quattroporte,2011,430,361
142,233,102,Rear-wheel drive,Maserati 4.7L 8 Cylinder 440 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2011 Maserati Quattroporte Sport GT S,Maserati,2011 Maserati Quattroporte,2011,440,361
157,233,102,Rear-wheel drive,Maserati 4.2L 8 Cylinder 400 hp 339 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,20,Automatic transmission,2010 Maserati Quattroporte,Maserati,2010 Maserati Quattroporte,2010,400,339
157,233,102,Rear-wheel drive,Maserati 4.7L 8 Cylinder 425 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Maserati Quattroporte S,Maserati,2010 Maserati Quattroporte,2010,425,361
157,233,102,Rear-wheel drive,Maserati 4.7L 8 Cylinder 433 hp 361 ft-lbs,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Maserati Quattroporte Sport GT S,Maserati,2010 Maserati Quattroporte,2010,433,361
